,Plantnummer:,Maximale groeihoogte (in CM):,Wintergroen?:,Bloeimaand:,Vochtigheid grond:,Positie in de tuin:,Bladkleur:,Bloemkleur:,Plantenfamilie:,Nederlandse naam:,Geslacht:,Plantdichtheid Aantal planten per m2:,Type,winterhard:,Wat voor soort grond past erbij?:,Bijvriendelijk:,Soort bodem:,Type tuin :,Snoeiperiode:,Giftig:,Groeiwijze klimplant:,Ondersteuning klimplant:,Haagplanten per strekkende meter:,pH waarde:,Stekels:,Planttijd:,Voeding / Bemesting:,Voeding periode:
909,YAR1010,160,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Zonnebloem,Helianthus,,Borderplanten,,,,,,,,,,,,,,,
910,YAR955,160,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Zonnebloem,Helianthus,,Borderplanten,,,,,,,,,,,,,,,
911,YAR2507,175,Nee,"Augustus, September, Oktober",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Zonnebloem,Helianthus,,Borderplanten,,,,,,,,,,,,,,,
912,YAR3166,200,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Zonnebloem,Helianthus,,Borderplanten,,,,,,,,,,,,,,,
913,YAR598,200,Nee,"Augustus, September",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Geel,Asteraceae,Zonnekroon,Silphium,,Bloeikleur,,,,,,,,,,,,,,,
914,YAR1608,120,Nee,"September, Augustus, Juli",Droog-vochthoudend,Zon,Groen,"Geel, Groen",Asteraceae,Zonneoog,Heliopsis,,Borderplanten,,,,,,,,,,,,,,,
915,YAR2618,120,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,"Geel, Oranje",Asteraceae,Zonneoog,Heliopsis,,Borderplanten,,,,,,,,,,,,,,,
916,YAR3153,100,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Zonneoog,Heliopsis,,Borderplanten,,,,,,,,,,,,,,,
917,YAR1413,150,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Zonneogen,Heliopsis,,Borderplanten,,,,,,,,,,,,,,,
918,YAR1295,100,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Zonneoog,Heliopsis,,Borderplanten,,,,,,,,,,,,,,,
919,YAR4090,25,Ja,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Groen, Grijs",Rood,Cistaceae,Zonneroosje,Helianthemum,,Borderplanten,,,,,,,,,,,,,,,
920,YAR93,25,Ja,"Augustus, Juli, Juni, Mei",Droog-vochthoudend,Zon,"Groen, Grijs",Roze,Cistaceae,Zonneroosje,Helianthemum,,Borderplanten,,,,,,,,,,,,,,,
921,YAR179,25,Ja,"Juni, Juli, Augustus",Vochthoudend,Zon,Groen,Oranje,Cistaceae,Zonneroosje,Helianthemum,,Borderplanten,,,,,,,,,,,,,,,
922,YAR1704,25,Ja,"Juni, Juli, Augustus",Vochthoudend,Zon,Groen,Roze,Cistaceae,Zonneroosje,Helianthemum,,Borderplanten,,,,,,,,,,,,,,,
923,YAR3890,4000,Nee,Mei,,,"Groen, Bruin",,"Napjesdragersfamilie, Fagaceae",Zuilbeuk,,,Bomen,,,,,,,,,,,,,,,
924,YAR3558,50,Ja,,Vochthoudend-vochtig,Lichte / halfschaduw,Groen,,Berberidaceae,Zuurbes,Berberis,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
925,YAR2430,200,Ja,"Mei, Juni",Droog-vochthoudend,Lichte schaduw,Groen,Geel,Berberidaceae,"Berberis, Zuurbes",Berberis,3-4,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
926,YAR3649,125,Ja,"Mei, Juni",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,"Geel, Oranje",Berberidaceae,Zuurbes,Berberis,3-4,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
927,YAR25417,200,Nee,"April, Mei, Juli",Vochthoudend,"Halfschaduw, Zon",Groen,Wit,Grossulariaceae,Zwarte aalbes,,1,Heesters en Struiken,Ja,,Ja,,,,,,,,,,,,
928,YAR532,150,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Wit,Plantaginaceae,Zwarte ereprijs,Veronicastrum,7-9,Borderplanten,,,,,,,,,,,,,,,
929,YAR3401,100,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Geel,Scrophulariacea,Zwarte toorts,Verbascum,,Tuin thema's en Meer,,,,,,,,,,,,,,,
930,YAR586,300,Nee,"Mei, Juni",Vochthoudend,Halfschaduw / zon,"Bruin, Paars",Roze,Caprifoliaceae,Vlier,Sambucus,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
